nid,title,field_url,author,field_crawl_frequency,created,
30974,Jason Manford,http://www.jasonmanford.com/,Dorota Walker,SIXMONTHLY,2015-09-29T12:59:29Z
31373,Jasper Carrott,http://www.jaspercarrott.com/,Dorota Walker,SIXMONTHLY,2015-10-09T14:33:49Z
122054,Jay Lafferty on Facebook,https://www.facebook.com/jayjaylaffs/,Trevor Thomson,SIXMONTHLY,2020-09-04T12:48:29Z
56030,Jenny Collier Comedy,http://www.jennycolliercomedy.com/,Aled Betts,QUARTERLY,2017-07-19T15:44:32Z
31261,Jenny Eclair,http://www.jennyeclair.com/,Dorota Walker,SIXMONTHLY,2015-10-07T16:21:56Z
20426,Jeremy Hardy - The official website,http://jeremyhardy.co.uk/,Elspeth Millar,QUARTERLY,2015-04-07T10:23:24Z
83858,Jerry Sadowitz ,http://www.jerrysadowitz.com/,Helena Byrne,SIXMONTHLY,2018-12-11T14:27:04Z
102491,Joe Sutherland,http://www.joesutherland.co.uk/,Daniel Lowe,SIXMONTHLY,2019-12-04T15:25:54Z
65165,Jonathan Pie (@JonathanPieNews) on Twitter,https://twitter.com/JonathanPieNews/,Tony Corsini,WEEKLY,2018-05-02T19:06:46Z
30976,Josh Widdicombe,http://www.joshwiddicombe.com/,Dorota Walker,SIXMONTHLY,2015-09-29T13:00:49Z
23813,Josie Long,http://www.josielong.com/,Elspeth Millar,QUARTERLY,2015-05-13T16:54:46Z
33548,Josie Long (@JosieLong) on Twitter,https://twitter.com/JosieLong/,Elspeth Millar,MONTHLY,2015-12-17T08:39:12Z
122055,Julia Sutherland (@JuliaSutherland) on Twitter,https://twitter.com/juliasutherland/,Trevor Thomson,MONTHLY,2020-09-04T12:51:37Z
95963,Karen Dunbar,http://www.karendunbar.co.uk,Eilidh MacGlone,SIXMONTHLY,2019-08-07T16:06:56Z
56039,Karen Sherrard, Comedy Writer and Performer,https://www.karensherrard.com/,Aled Betts,QUARTERLY,2017-07-20T07:58:20Z
122075,Kevin Bridges,https://www.kevinbridges.co.uk/,Trevor Thomson,SIXMONTHLY,2020-09-06T10:06:34Z
122051,Larry Dean,http://www.larrydeancomedy.com/sitemap.xml,http://www.larrydeancomedy.com/,Trevor Thomson,SIXMONTHLY,2020-09-04T12:41:51Z
149647,Lee Hurst,https://www.leehurst.com/sitemap.xml,https://www.leehurst.com/,Trevor Thomson,ANNUAL,2021-11-25T13:34:23Z
121950,Leo Kearse : Comedian and Writer,https://www.leokearse.com/sitemap.xml,https://www.leokearse.com/,Trevor Thomson,SIXMONTHLY,2020-09-02T10:44:18Z
56041,Lloyd Langford. Comedian, Writer. Actor of incredibly limited range.,http://lloydlangford.com/,Aled Betts,QUARTERLY,2017-07-20T08:17:03Z
155858,Lou Conran,https://www.louconran.com/sitemap.xml,https://www.louconran.com/,Trevor Thomson,SIXMONTHLY,2022-02-22T12:58:03Z
84747,Lou Sanders,http://www.lousanders.co.uk,Tony Corsini,QUARTERLY,2019-01-12T23:13:45Z
122106,Lubna Kerr,http://www.lubnakerr.co.uk/,Trevor Thomson,SIXMONTHLY,2020-09-07T07:45:12Z
122056,Lynn Ferguson (@lynnfergy) on Twitter,https://twitter.com/lynnfergy/,Trevor Thomson,MONTHLY,2020-09-04T12:54:07Z
60189,Mike Bubbins,http://mikebubbins.com/,Aled Betts,QUARTERLY,2018-01-09T18:01:59Z
122376,Nathan Caton,https://www.nathancaton.com/,Tony Corsini,QUARTERLY,2020-09-11T07:45:01Z
86410,Noel James,https://noeljames.co.uk/,Meleri Jones,QUARTERLY,2019-02-11T11:35:37Z
63528,Owen Money MBE the official site,http://www.owen-money.com/,Aled Betts,QUARTERLY,2018-03-29T16:03:14Z
122108,Phil Kay : it's me online,https://payhip.com/philkay,https://philkay.online/,Trevor Thomson,SIXMONTHLY,2020-09-07T07:52:26Z
112015,Pippa Evans,http://www.pippaevans.com/,Tony Corsini,QUARTERLY,2020-04-30T00:42:36Z
122110,Ray Bradshaw (@comedyray) on Twitter,https://twitter.com/comedyray/,Trevor Thomson,MONTHLY,2020-09-07T08:23:02Z
111675,realmattlucas (@RealMattLucas) on Twitter,https://twitter.com/RealMattLucas/,Helena Byrne,DAILY,2020-04-24T14:18:33Z
122107,Rhona Cameron,http://www.rhonacameron.com/,Trevor Thomson,SIXMONTHLY,2020-09-07T07:47:17Z
122062,Richard Gadd,https://richardgadd.com/sitemap.xml,https://richardgadd.com/,Trevor Thomson,SIXMONTHLY,2020-09-04T13:10:24Z
69820,Richard Herring's Leicester Square Theatre Podcasts,https://www.comedy.co.uk/podcasts/richard_herring_lst_podcast/,Tony Corsini,MONTHLY,2018-08-07T16:08:25Z
30969,Ricky Gervais,http://www.rickygervais.com/,Dorota Walker,SIXMONTHLY,2015-09-29T12:50:56Z
111668,Ricky Gervais (@rickygervais) on Twitter,https://twitter.com/rickygervais/,Helena Byrne,DAILY,2020-04-24T14:14:02Z
85995,Rob Brydon Impressive Online Presence,http://www.robbrydon.com/,Aled Betts,QUARTERLY,2019-02-01T17:02:59Z
111678,Robin Ince,http://robinince.com/,Helena Byrne,SIXMONTHLY,2020-04-24T14:23:42Z
111677,Robin Ince (@robinince) on Twitter,https://twitter.com/robinince/,Helena Byrne,DAILY,2020-04-24T14:21:26Z
144263,Robin Morgan,https://www.robinjmorgan.co.uk/sitemap.xml,https://www.robinjmorgan.co.uk/,Aled Betts,QUARTERLY,2021-08-13T14:44:00Z
69630,Sarah Breese,http://www.sarahbreese.com/,Aled Betts,QUARTERLY,2018-08-02T16:27:33Z
30898,Sarah Millican,http://www.sarahmillicanstore.com/,http://www.sarahmillican.co.uk/,Dorota Walker,SIXMONTHLY,2015-09-28T14:30:59Z
103755,Stephen Merchant,https://www.stephenmerchant.com/,Helena Byrne,SIXMONTHLY,2020-01-03T15:53:30Z
103754,Stephen Merchant (@StephenMerchant) on Twitter,https://twitter.com/StephenMerchant/,Helena Byrne,DAILY,2020-01-03T15:52:12Z
23812,Stewart Lee - Officially the 41st Best Stand-Up Ever,http://www.stewartlee.co.uk/,Elspeth Millar,SIXMONTHLY,2015-05-13T16:51:31Z
148212,Susie McCabe,https://susiemccabe.com/,Trevor Thomson,SIXMONTHLY,2021-11-02T11:47:23Z
30970,Tim Vine,http://www.timvine.com/,Dorota Walker,SIXMONTHLY,2015-09-29T12:52:07Z
122119,Vladimir McTavish (@VladMcTavish) on Twitter,https://twitter.com/vladmctavish/,Trevor Thomson,SIXMONTHLY,2020-09-07T09:55:09Z
